,Player,Rk,Tm,Age,Pos,G,GS,Tgt,Rec,Ctch%,Yds,Y/R,TD,1D,Lng,Y/Tgt,R/G,Y/G,Fmb,Year
0,A'Shawn Robinson,491.0,DET,21,LDT,16,5,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2016
1,A.J. Brown,39.0,PHI,25,WR,60,52,440,273,62.15,4491,16.6,35,202,74.75,10.3,4.58,74.33,5,2022
2,A.J. Derby,266.67,MIA,27,TE,25,4,65,40,64.17,452,12.53,3,3,21.67,7.9,1.43,16.73,2,2018
3,A.J. Green,20.5,CIN,26,WR,60,60,574,329,57.42,4874,14.97,35,212,73.5,8.57,5.45,81.03,7,2014
4,A.J. Jenkins,349.0,KAN,25,WR,28,3,33,17,35.7,223,8.87,0,9,25.0,4.6,0.5,6.13,1,2014
5,AJ Dillon,236.67,GNB,24,RB,45,5,82,64,85.67,540,9.03,2,25,27.67,7.93,1.27,10.8,3,2022
6,Aaron Brown,313.33,DET,26,RB,22,2,29,18,73.83,138,7.97,1,7,15.0,6.03,0.97,7.37,0,2011
7,Aaron Burbridge,308.0,SFO,23,WR,16,3,16,7,43.8,88,12.6,0,5,24.0,5.5,0.4,5.5,1,2016
8,Aaron Dobson,248.33,NWE,24,WR,24,13,98,53,57.77,698,12.5,4,36,40.33,7.17,1.83,23.47,1,2015
9,Aaron Hernandez,56.33,NWE,23,TE,38,29,260,175,67.2,1956,11.17,18,101,41.0,7.57,4.63,51.17,1,2012
10,Aaron Jones,152.25,GNB,26,RB,54,42,184,131,67.75,1057,6.9,6,47,32.5,4.92,2.38,18.5,6,2020
11,Aaron Ripkowski,353.33,GNB,25,RB,47,10,21,17,86.67,103,9.57,1,4,13.0,8.83,0.37,2.17,0,2017
12,Aaron Shea,251.25,CLE,27,TE,38,18,84,53,64.08,446,6.92,2,16,18.5,4.53,1.18,9.15,1,2003
13,Aaron Walker,290.0,STL,26,TE,48,12,34,23,70.5,299,13.2,1,15,27.33,9.3,0.47,6.27,0,2006
14,Ace Sanders,201.0,JAX,23,WR,27,4,94,57,72.15,539,9.35,1,23,37.5,6.75,1.95,18.45,2,2014
15,Adam Jennings,395.0,2TM,26,WR,45,2,9,6,33.33,62,3.43,1,3,9.33,3.43,0.13,1.3,5,2008
16,Adam Jones,369.0,TEN,23,RCB,15,15,2,2,100.0,31,15.5,0,2,17.0,15.5,0.1,2.1,4,2006
17,Adam Shaheen,297.25,MIA,26,TE,43,18,55,38,73.17,399,10.22,7,23,28.75,7.4,0.9,9.12,1,2020
18,Adam Trautman,212.0,NOR,25,TE,43,28,81,60,79.47,641,10.87,4,31,31.67,8.73,1.43,15.13,1,2022
19,Adimchinobe Echemandu,361.0,2TM,27,RB,13,0,6,5,87.5,36,6.9,0,1,13.0,5.9,0.5,3.75,2,2007
20,Adoree' Jackson,468.0,TEN,22,LCB,16,16,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,1,2017
21,Adrian Arrington,332.5,NOR,26,WR,5,0,12,9,72.25,110,13.4,0,5,17.0,9.55,3.75,43.4,0,2011
22,Adrian Madise,370.0,DEN,23,WR,11,0,3,2,66.7,10,5.0,0,0,5.0,3.3,0.2,0.9,1,2003
23,Adrian Peterson,251.36,MIN,25,RB,151,60,270,191,76.45,1747,8.53,2,71,27.09,6.56,1.14,10.45,25,2010
24,Adrien Robinson,344.0,NYG,26,LB,16,1,7,5,71.4,50,10.0,1,3,29.0,7.1,0.3,3.1,0,2014
25,Ahmad Bradshaw,231.5,NYG,24,RB,58,12,99,75,68.58,575,7.75,1,27,25.5,5.43,1.2,9.3,15,2010
26,Albert Okwuegbunam,239.67,DEN,24,TE,26,7,73,54,70.47,546,10.17,4,25,38.67,7.23,2.17,21.93,1,2022
27,Aldrick Robinson,303.0,2TM,26,WR,38,3,65,30,32.33,608,15.93,5,23,45.33,6.8,0.63,13.17,0,2014
28,Alex Armah,393.67,CAR,26,FB,48,4,12,8,85.2,29,3.87,0,1,7.67,3.33,0.17,0.6,0,2020
29,Alex Bannister,353.0,SEA,25,WR,55,4,23,9,37.2,121,9.45,1,6,14.0,3.88,0.2,2.08,0,2004
30,Alex Collins,228.33,BAL,24,RB,36,22,68,49,78.43,376,7.57,1,20,25.0,5.93,1.33,10.2,9,2018
31,Alex Green,335.0,NYJ,25,RB,29,4,33,21,86.67,139,5.63,0,7,10.67,4.73,0.67,4.17,1,2013
32,Alex Mack,471.0,CLE,26,C,16,16,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2011
33,Alex Smith,119.5,TAM,26,TE,58,43,205,129,62.23,1252,10.0,11,69,29.5,6.15,2.23,21.55,1,2008
34,Alexander Mattison,232.5,MIN,24,RB,59,6,84,70,83.85,526,7.75,3,22,21.25,6.5,1.18,8.9,2,2022
35,Alfred Blue,259.25,HOU,26,RB,57,14,59,49,82.47,316,6.45,2,14,17.25,5.4,0.82,5.42,4,2017
36,Alfred Morris,258.25,WAS,27,RB,64,64,67,47,71.53,365,7.57,0,15,18.75,5.38,0.75,5.7,11,2015
37,Alge Crumpler,95.5,ATL,27,TE,62,51,253,153,60.75,2111,13.6,17,95,50.5,8.3,2.52,34.7,3,2004
38,Allen Robinson,147.25,JAX,24,WR,43,41,384,202,65.15,2848,14.5,22,139,50.75,9.72,3.85,53.62,1,2017
39,Alshon Jeffery,61.25,CHI,25,WR,51,44,435,252,56.52,3728,14.88,24,182,64.75,8.4,4.83,71.5,5,2015
40,Alvin Kamara,18.0,NOR,25,RB,60,35,409,326,79.8,2824,8.68,15,138,43.75,6.92,5.45,46.85,7,2020
41,Alvin Pearman,336.0,JAX,26,RB,33,0,41,36,88.9,276,9.38,1,14,12.5,8.68,0.88,9.8,6,2008
42,Amani Hooker,482.0,TEN,23,FS,12,12,1,1,100.0,6,6.0,0,1,6.0,6.0,0.1,0.5,0,2021
43,Amara Darboh,296.0,SEA,23,WR,16,0,13,8,61.5,71,8.9,0,2,16.0,5.5,0.5,4.4,0,2017
44,Amari Cooper,39.5,2TM,24,WR,61,56,465,278,59.6,3908,14.1,25,182,77.25,8.35,4.53,63.65,6,2018
45,Ameer Abdullah,261.75,2TM,25,RB,42,22,82,58,78.05,430,8.62,3,29,22.0,6.95,1.55,13.57,8,2018
46,Andre Brown,245.0,NYG,26,RB,10,2,17,12,70.6,86,7.2,0,2,17.0,5.1,1.2,8.6,0,2012
47,Andre Caldwell,143.75,CIN,26,WR,51,14,204,124,60.92,1172,9.5,6,65,35.25,5.88,2.33,21.38,5,2011
48,Andre Ellington,176.5,ARI,27,RB,53,15,164,112,66.5,999,8.78,3,53,41.75,5.85,2.17,19.43,4,2016
49,Andre Johnson,21.5,HOU,25,WR,61,61,534,311,57.8,3953,12.82,17,197,51.5,7.38,5.05,64.25,3,2006
50,Andre King,284.75,CLE,31,WR,42,3,45,30,68.7,327,10.32,0,13,26.25,7.0,0.82,9.07,1,2004
51,Andre Roberts,92.0,ARI,25,WR,62,35,337,182,53.42,2123,11.8,11,100,49.75,6.3,2.95,34.27,4,2013
52,Andre Williams,393.33,SDG,24,RB,33,7,42,19,27.3,137,4.73,0,6,10.33,1.93,0.4,2.83,1,2016
53,Andre' Davis,166.0,NWE,26,WR,48,23,193,102,49.78,1602,18.23,14,51,59.75,8.73,2.02,35.7,3,2005
54,Andrew Gardner,479.0,HOU,26,T,3,0,1,0,0.0,0,0.0,0,0,0.0,0.0,0.0,0.0,0,2012
55,Andrew Pinnock,359.0,SDG,24,FB,1,0,3,3,100.0,26,8.7,0,2,14.0,8.7,3.0,26.0,1,2004
56,Andrew Quarless,231.67,GNB,25,TE,39,15,90,56,66.33,586,11.03,3,34,22.0,7.37,1.3,13.8,1,2013
57,Andrew Thomas,504.0,NYG,22,LT,13,13,1,1,100.0,2,2.0,1,1,2.0,2.0,0.1,0.2,0,2021
58,Andy Dalton,438.5,CIN,27,QB,32,32,2,1,50.0,18,9.0,1,1,9.0,9.0,0.05,0.55,7,2014
